game_id,season,date,day_of_week,time,hour,minute,late,opponent,playoff
0,2012,2013-01-19,5,19:00:00,19,0,1,NY Rangers,0
2,2012,2013-01-25,4,19:00:00,19,0,1,NY Islanders,0
3,2012,2013-01-29,1,19:00:00,19,0,1,New Jersey,0
4,2012,2013-01-31,3,19:00:00,19,0,1,Buffalo,0
5,2012,2013-02-12,1,19:30:00,19,30,1,NY Rangers,0
6,2012,2013-02-28,3,19:00:00,19,0,1,Ottawa,0
7,2012,2013-03-02,5,13:00:00,13,0,0,Tampa Bay,0
8,2012,2013-03-03,6,19:30:00,19,30,1,Montreal,0
9,2012,2013-03-07,3,19:00:00,19,0,1,Toronto,0
10,2012,2013-03-09,5,13:00:00,13,0,0,Philadelphia,0
11,2012,2013-03-14,3,19:00:00,19,0,1,Florida,0
12,2012,2013-03-16,5,13:00:00,13,0,0,Washington,0
13,2012,2013-03-25,0,19:00:00,19,0,1,Toronto,0
14,2012,2013-03-27,2,19:30:00,19,30,1,Montreal,0
15,2012,2013-04-02,1,19:00:00,19,0,1,Ottawa,0
16,2012,2013-04-04,3,19:00:00,19,0,1,New Jersey,0
17,2012,2013-04-08,0,19:00:00,19,0,1,Carolina,0
18,2012,2013-04-11,3,19:00:00,19,0,1,NY Islanders,0
19,2012,2013-04-17,2,19:30:00,19,30,1,Buffalo,0
20,2012,2013-04-20,5,12:30:00,12,30,0,Pittsburgh,0
21,2012,2013-04-21,6,12:30:00,12,30,0,Florida,0
22,2012,2013-04-25,3,19:30:00,19,30,1,Tampa Bay,0
23,2012,2013-04-28,6,19:00:00,19,0,1,Ottawa,0
24,2012,2013-05-01,2,19:00:00,19,0,1,Maple Leafs,1
25,2012,2013-05-04,5,19:00:00,19,0,1,Maple Leafs,1
26,2012,2013-05-10,4,19:00:00,19,0,1,Maple Leafs,1
27,2012,2013-05-13,0,19:00:00,19,0,1,Maple Leafs,1
28,2012,2013-05-16,3,19:30:00,19,30,1,Rangers,1
29,2012,2013-05-19,6,15:00:00,15,0,0,Rangers,1
30,2012,2013-05-25,5,17:30:00,17,30,0,Rangers,1
31,2012,2013-06-05,2,20:00:00,20,0,1,Penguins,1
32,2012,2013-06-07,4,20:00:00,20,0,1,Penguins,1
33,2012,2013-06-17,0,20:00:00,20,0,1,Blackhawks,1
34,2012,2013-06-19,2,20:00:00,20,0,1,Blackhawks,1
35,2012,2013-06-24,0,20:00:00,20,0,1,Blackhawks,1
36,2013,2013-10-03,3,19:00:00,19,0,1,Tampa Bay,0
37,2013,2013-10-05,5,19:00:00,19,0,1,Detroit,0
38,2013,2013-10-10,3,19:00:00,19,0,1,Colorado,0
40,2013,2013-10-24,3,19:00:00,19,0,1,San Jose,0
41,2013,2013-10-26,5,19:00:00,19,0,1,New Jersey,0
