game_id,season,date,day_of_week,time,hour,minute,late,opponent,playoff
0,2012,2013-01-04,4,20:00:00,20,0,1,Indiana,0
1,2012,2013-01-09,2,19:30:00,19,30,1,Phoenix,0
2,2012,2013-01-11,4,19:30:00,19,30,1,Houston,0
3,2012,2013-01-14,0,19:30:00,19,30,1,Charlotte,0
4,2012,2013-01-16,2,20:00:00,20,0,1,New Orleans,0
5,2012,2013-01-18,4,19:00:00,19,0,1,Chicago,0
6,2012,2013-01-24,3,20:00:00,20,0,1,New York,0
7,2012,2013-01-27,6,13:00:00,13,0,0,Miami,0
8,2012,2013-01-30,2,19:30:00,19,30,1,Sacramento,0
9,2012,2013-02-01,4,19:30:00,19,30,1,Orlando,0
10,2012,2013-02-03,6,13:00:00,13,0,0,Los Angeles Clippers,0
11,2012,2013-02-07,3,20:00:00,20,0,1,Los Angeles Lakers,0
12,2012,2013-02-13,2,19:30:00,19,30,1,Chicago,0
13,2012,2013-03-01,4,19:30:00,19,30,1,Golden State,0
14,2012,2013-03-13,2,19:30:00,19,30,1,Toronto,0
15,2012,2013-03-16,5,19:30:00,19,30,1,Charlotte,0
16,2012,2013-03-18,0,20:00:00,20,0,1,Miami,0
17,2012,2013-03-26,1,19:00:00,19,0,1,New York,0
18,2012,2013-03-29,4,19:30:00,19,30,1,Atlanta,0
19,2012,2013-04-03,2,19:30:00,19,30,1,Detroit,0
20,2012,2013-04-05,4,19:30:00,19,30,1,Cleveland,0
21,2012,2013-04-07,6,18:00:00,18,0,0,Washington,0
22,2012,2013-04-10,2,20:00:00,20,0,1,Brooklyn,0
23,2012,2013-04-26,4,20:00:00,20,0,1,New York,1
24,2012,2013-04-28,6,13:00:00,13,0,0,New York,1
25,2012,2013-05-03,4,19:00:00,19,0,1,New York,1
26,2013,2013-11-01,4,19:30:00,19,30,1,Milwaukee,0
27,2013,2013-11-06,2,19:30:00,19,30,1,Utah,0
28,2013,2013-11-13,2,19:30:00,19,30,1,Charlotte,0
29,2013,2013-11-15,4,19:30:00,19,30,1,Portland,0
30,2013,2013-11-22,4,19:30:00,19,30,1,Indiana,0
31,2013,2013-12-03,1,19:30:00,19,30,1,Milwaukee,0
32,2013,2013-12-06,4,19:30:00,19,30,1,Denver,0
33,2013,2013-12-11,2,19:30:00,19,30,1,Los Angeles Clippers,0
34,2013,2013-12-13,4,19:30:00,19,30,1,New York,0
35,2013,2013-12-16,0,19:30:00,19,30,1,Minnesota,0
36,2013,2013-12-18,2,19:30:00,19,30,1,Detroit,0
37,2013,2013-12-21,5,13:00:00,13,0,0,Washington,0
38,2013,2014-01-13,0,19:30:00,19,30,1,Houston,0
39,2013,2014-01-15,2,19:30:00,19,30,1,Toronto,0
40,2013,2014-01-17,4,19:30:00,19,30,1,Los Angeles Lakers,0
41,2013,2014-01-24,4,19:30:00,19,30,1,Oklahoma City,0
42,2013,2014-01-26,6,18:30:00,18,30,0,Brooklyn,0
43,2013,2014-01-29,2,19:30:00,19,30,1,Philadelphia,0
44,2013,2014-02-02,6,13:00:00,13,0,0,Orlando,0
45,2013,2014-02-07,4,19:30:00,19,30,1,Sacramento,0
46,2013,2014-02-09,6,18:00:00,18,0,0,Dallas,0
47,2013,2014-02-12,2,19:30:00,19,30,1,San Antonio,0
48,2013,2014-02-26,2,19:30:00,19,30,1,Atlanta,0
49,2013,2014-03-01,5,20:00:00,20,0,1,Indiana,0
50,2013,2014-03-05,2,19:30:00,19,30,1,Golden State,0
51,2013,2014-03-07,4,19:30:00,19,30,1,Brooklyn,0
52,2013,2014-03-09,6,18:00:00,18,0,0,Detroit,0
53,2013,2014-03-12,2,19:30:00,19,30,1,New York,0
54,2013,2014-03-14,4,19:30:00,19,30,1,Phoenix,0
55,2013,2014-03-19,2,19:30:00,19,30,1,Miami,0
56,2013,2014-03-26,2,19:30:00,19,30,1,Toronto,0
57,2013,2014-03-30,6,19:00:00,19,0,1,Chicago,0
58,2013,2014-04-04,4,19:30:00,19,30,1,Philadelphia,0
59,2013,2014-04-11,4,19:30:00,19,30,1,Charlotte,0
60,2013,2014-04-16,2,20:00:00,20,0,1,Washington,0
61,2014,2014-10-29,2,19:30:00,19,30,1,Brooklyn,0
62,2014,2014-11-05,2,19:30:00,19,30,1,Toronto,0
63,2014,2014-11-07,4,19:30:00,19,30,1,Indiana,0
64,2014,2014-11-12,2,19:30:00,19,30,1,Oklahoma City,0
65,2014,2014-11-14,4,19:30:00,19,30,1,Cleveland,0
66,2014,2014-11-17,0,19:30:00,19,30,1,Phoenix,0
67,2014,2014-11-23,6,18:00:00,18,0,0,Portland,0
