game_id,season,date,day_of_week,time,hour,minute,late,opponent,playoff
0,2013,2013-04-08,0,14:00:00,14,0,0,Baltimore,0
1,2013,2013-04-10,2,19:00:00,19,0,1,Baltimore,0
2,2013,2013-04-11,3,19:00:00,19,0,1,Baltimore,0
3,2013,2013-04-13,5,13:00:00,13,0,0,Tampa Bay,0
4,2013,2013-04-14,6,13:30:00,13,30,0,Tampa Bay,0
5,2013,2013-04-15,0,11:00:00,11,0,0,Tampa Bay,0
6,2013,2013-04-20,5,13:00:00,13,0,0,Kansas City,0
7,2013,2013-04-21,6,13:30:00,13,30,0,Kansas City,0
8,2013,2013-04-21,6,19:00:00,19,0,1,Kansas City,0
9,2013,2013-04-22,0,18:30:00,18,30,1,Oakland,0
10,2013,2013-04-23,1,18:30:00,18,30,1,Oakland,0
11,2013,2013-04-24,2,16:00:00,16,0,0,Oakland,0
12,2013,2013-04-25,3,18:30:00,18,30,1,Houston,0
13,2013,2013-04-26,4,19:00:00,19,0,1,Houston,0
14,2013,2013-04-27,5,19:00:00,19,0,1,Houston,0
15,2013,2013-04-28,6,13:30:00,13,30,0,Houston,0
16,2013,2013-05-06,0,19:00:00,19,0,1,Minnesota,0
17,2013,2013-05-07,1,19:00:00,19,0,1,Minnesota,0
18,2013,2013-05-08,2,19:00:00,19,0,1,Minnesota,0
19,2013,2013-05-09,3,19:00:00,19,0,1,Minnesota,0
20,2013,2013-05-10,4,19:00:00,19,0,1,Toronto,0
21,2013,2013-05-11,5,13:30:00,13,30,0,Toronto,0
22,2013,2013-05-12,6,13:30:00,13,30,0,Toronto,0
23,2013,2013-05-23,3,19:00:00,19,0,1,Cleveland,0
24,2013,2013-05-24,4,19:00:00,19,0,1,Cleveland,0
25,2013,2013-05-25,5,13:30:00,13,30,0,Cleveland,0
26,2013,2013-05-26,6,13:30:00,13,30,0,Cleveland,0
27,2013,2013-05-27,0,19:00:00,19,0,1,Philadelphia,0
28,2013,2013-05-28,1,19:00:00,19,0,1,Philadelphia,0
29,2013,2013-06-04,1,19:00:00,19,0,1,Texas,0
30,2013,2013-06-05,2,19:00:00,19,0,1,Texas,0
31,2013,2013-06-06,3,19:00:00,19,0,1,Texas,0
32,2013,2013-06-08,5,13:00:00,13,0,0,Los Angeles Angels,0
33,2013,2013-06-08,5,19:15:00,19,15,1,Los Angeles Angels,0
34,2013,2013-06-09,6,13:30:00,13,30,0,Los Angeles Angels,0
35,2013,2013-06-18,1,13:00:00,13,0,0,Tampa Bay,0
36,2013,2013-06-18,1,20:00:00,20,0,1,Tampa Bay,0
37,2013,2013-06-19,2,19:00:00,19,0,1,Tampa Bay,0
38,2013,2013-06-25,1,19:00:00,19,0,1,Colorado,0
39,2013,2013-06-26,2,16:00:00,16,0,0,Colorado,0
40,2013,2013-06-27,3,19:00:00,19,0,1,Toronto,0
41,2013,2013-06-28,4,19:00:00,19,0,1,Toronto,0
42,2013,2013-06-29,5,16:00:00,16,0,0,Toronto,0
43,2013,2013-06-30,6,13:30:00,13,30,0,Toronto,0
44,2013,2013-07-02,1,19:00:00,19,0,1,San Diego,0
45,2013,2013-07-03,2,19:00:00,19,0,1,San Diego,0
46,2013,2013-07-04,3,13:30:00,13,30,0,San Diego,0
47,2013,2013-07-19,4,19:00:00,19,0,1,New York Yankees,0
48,2013,2013-07-20,5,16:00:00,16,0,0,New York Yankees,0
49,2013,2013-07-21,6,20:00:00,20,0,1,New York Yankees,0
50,2013,2013-07-22,0,19:00:00,19,0,1,Tampa Bay,0
51,2013,2013-07-23,1,19:00:00,19,0,1,Tampa Bay,0
52,2013,2013-07-24,2,19:00:00,19,0,1,Tampa Bay,0
53,2013,2013-07-29,0,18:00:00,18,0,1,Tampa Bay,0
54,2013,2013-07-30,1,19:00:00,19,0,1,Seattle,0
55,2013,2013-07-31,2,19:00:00,19,0,1,Seattle,0
56,2013,2013-08-01,3,19:00:00,19,0,1,Seattle,0
57,2013,2013-08-02,4,19:00:00,19,0,1,Arizona,0
58,2013,2013-08-03,5,19:00:00,19,0,1,Arizona,0
59,2013,2013-08-04,6,13:30:00,13,30,0,Arizona,0
60,2013,2013-08-16,4,19:00:00,19,0,1,New York Yankees,0
61,2013,2013-08-17,5,16:00:00,16,0,0,New York Yankees,0
62,2013,2013-08-18,6,20:00:00,20,0,1,New York Yankees,0
63,2013,2013-08-27,1,19:00:00,19,0,1,Baltimore,0
64,2013,2013-08-28,2,19:00:00,19,0,1,Baltimore,0
65,2013,2013-08-29,3,19:00:00,19,0,1,Baltimore,0
66,2013,2013-08-30,4,19:00:00,19,0,1,Chicago White Sox,0
67,2013,2013-08-31,5,19:00:00,19,0,1,Chicago White Sox,0
68,2013,2013-09-03,1,19:00:00,19,0,1,Detroit,0
69,2013,2013-09-04,2,19:00:00,19,0,1,Detroit,0
70,2013,2013-09-13,4,19:00:00,19,0,1,New York Yankees,0
71,2013,2013-09-14,5,13:00:00,13,0,0,New York Yankees,0
72,2013,2013-09-15,6,20:00:00,20,0,1,New York Yankees,0
73,2013,2013-09-17,1,19:00:00,19,0,1,Baltimore,0
74,2013,2013-09-18,2,19:00:00,19,0,1,Baltimore,0
75,2013,2013-09-19,3,19:00:00,19,0,1,Baltimore,0
76,2013,2013-09-20,4,19:00:00,19,0,1,Toronto,0
77,2013,2013-09-21,5,19:00:00,19,0,1,Toronto,0
78,2013,2013-09-22,6,13:30:00,13,30,0,Toronto,0
79,2013,2013-10-04,4,15:00:00,15,0,0,Tampa Bay,1
80,2013,2013-10-05,5,17:30:00,17,30,0,Tampa Bay,1
81,2013,2013-10-12,5,20:00:00,20,0,1,Detroit,1
82,2013,2013-10-13,6,20:00:00,20,0,1,Detroit,1
83,2013,2013-10-19,5,20:00:00,20,0,1,Detroit,1
84,2013,2013-10-23,2,19:30:00,19,30,1,St. Louis,1
